Date,Open,High,Low,Close,Volume,"BOLLINGER BAND ® - BB - BBUpper(20,2)","BOLLINGER BAND ® - BB - BBLower(20,2)"
03/11/2010,114.7,115.48,114.35,115.45,160875872,115.854877977225,107.530222022775
03/12/2010,115.95,115.97,115.14,115.46,162074752,116.192821714791,107.925278285209
03/15/2010,115.26,115.575,114.6,115.49,146816816,116.388414236992,108.474685763008
03/16/2010,115.81,116.52,115.49,116.41,168673008,116.879489231534,108.650610768466
03/17/2010,116.76,117.48,116.4198,117.1,177468064,117.46182409173,108.75227590827
03/18/2010,117.11,117.27,116.57,117.0375,196509056,117.964565134901,108.862284865099
03/19/2010,116.96,117.293,115.52,115.97,226641120,118.210483190552,109.099366809448
03/22/2010,115.31,116.8,115.24,116.5925,184477680,118.50245746082,109.35064253918
03/23/2010,116.76,117.51,116.38,117.41,182941568,118.710981528584,109.902118471416
03/24/2010,116.97,117.4264,115.58,116.84,196183312,118.837098520823,110.378001479177
03/25/2010,117.63,118.1666,116.51,116.65,223396256,118.813586868267,110.999513131733
03/26/2010,116.87,117.42,116.12,116.582,205808496,118.664634161821,111.732665838179
03/29/2010,117.1699,117.53,116.6886,117.32,134513504,118.699513623066,112.240786376934
03/30/2010,117.46,117.83,116.91,117.4,145772368,118.690636009082,112.769663990918
03/31/2010,116.95,117.52,116.61,117,161078688,118.517187501678,113.413112498322
04/01/2010,117.8,118.25,117.1,117.8,161215184,118.393372531273,114.052827468727
04/05/2010,118.25,118.84,117.92,118.76,105847632,118.688070799099,114.209129200902
04/06/2010,118.42,119.25,118.29,119.04,110384128,118.963393403763,114.410806596237
04/07/2010,118.8,119.3567,117.81,118.36,184576320,119.026193202275,114.738006797725
04/08/2010,117.95,118.97,117.6,118.7725,158704000,119.178416526789,114.966033473211
04/09/2010,119.02,119.6,118.8,119.55,133006496,119.506461135434,115.047988864566
04/12/2010,119.7,120.05,119.56,119.74,110278944,119.801831099608,115.180618900392
04/13/2010,119.62,120.04,119,119.83,125125056,120.041364075904,115.375085924096
04/14/2010,120.27,121.19,120.08,121.19,161609008,120.649543957396,115.244906042604
04/15/2010,120.99,121.5654,120.95,121.29,144615248,121.192880076327,115.120569923673
04/16/2010,120.86,121.285,118.75,119.36,366879744,121.306550514225,115.239149485775
04/19/2010,119.01,119.93,118.47,119.81,217947744,121.374802784841,115.55489721516
04/20/2010,120.56,120.98,119.871,120.88,157707936,121.637171863539,115.721278136461
04/21/2010,120.95,121.23,119.99,120.66,192910064,121.859394986512,115.824055013488
04/22/2010,119.81,121.17,119.12,121.02,239188560,122.063896742119,116.037553257881
04/23/2010,120.94,121.86,120.63,121.8125,177335440,122.339604693143,116.278095306857
04/26/2010,121.85,122.12,121.23,121.35,143457184,122.428959952444,116.665540047556
04/27/2010,120.65,121.3346,118.25,118.48,355853824,122.348691679715,116.861808320285
04/28/2010,119.05,119.68,118.27,119.38,300677632,122.258616898081,117.14988310192
04/29/2010,120.1,121.11,120.07,120.8575,193774880,122.172952473139,117.621297526861
04/30/2010,120.88,121.01,118.78,118.8125,270000896,122.07491589621,117.82058410379
