Date,Time,Open,High,Low,Close,Volume,"Volume Weighted Moving Average - VMA - VMA(Close,60)","Linear Regression - LR - LR(20)","BOLLINGER BAND ® - BB - BBUpper(20,2)","BOLLINGER BAND ® - BB - BBLower(20,2)","Standard Deviation - SD - SD(5,Population)"
03/31/2020,11:34 AM,162.7,162.87,162.555,162.87,64621,163.463127236155,162.69794,163.505774099029,162.362965900971,0.142247108905549
03/31/2020,11:35 AM,162.875,162.88,162.66,162.71,73023,163.460505892269,162.672834285715,163.488946096358,162.340793903642,0.137999420275767
03/31/2020,11:36 AM,162.71,162.91,162.55,162.8688,97815,163.458123881121,162.715791428572,163.410037116644,162.363582883357,0.0892100801737277
03/31/2020,11:37 AM,162.875,163.05,162.8,162.9098,104959,163.451894463303,162.789380000001,163.269566943179,162.437033056821,0.0910132824945246
03/31/2020,11:38 AM,162.9415,163.24,162.76,162.78,196536,163.419591706499,162.836437142858,163.129318980056,162.509281019944,0.0725913052911746
03/31/2020,11:39 AM,162.77,162.97,162.44,162.65,106091,163.387620023826,162.818065714286,163.116594361099,162.492005638902,0.0963994689043079
03/31/2020,11:40 AM,162.6799,162.71,162.485,162.57,64981,163.365457950198,162.763622857143,163.123567308316,162.472532691685,0.128674696830453
03/31/2020,11:41 AM,162.6,162.76,162.57,162.76,51760,163.316459771659,162.786751428572,163.075770745819,162.486329254181,0.1163182118104
03/31/2020,11:42 AM,162.75,162.9547,162.6587,162.83,116235,163.266094582351,162.790237142858,163.080580424061,162.492019575939,0.09453041840687
03/31/2020,11:43 AM,162.845,162.85,162.56,162.57,63283,163.225243954863,162.714477142858,163.05866700502,162.52789299498,0.103846039891511
03/31/2020,11:44 AM,162.59,162.66,162.405,162.41,95956,163.18983125679,162.641868571429,163.088531419164,162.461128580837,0.149986666042341
03/31/2020,11:45 AM,162.43,162.43,162.1,162.275,92654,163.164838202801,162.533560000001,163.134925823397,162.380234176603,0.208000000003278
03/31/2020,11:46 AM,162.27,162.27,162,162.095,140678,163.133120895348,162.417751428572,163.193842833233,162.247817166767,0.25142394476293
03/31/2020,11:47 AM,162.11,162.11,161.87,161.89,152358,163.090119257303,162.278371428572,163.261526956461,162.08213304354,0.237583669477354
03/31/2020,11:48 AM,161.9,161.9,161.56,161.73,161049,163.026891301214,162.130277142858,163.315692989078,161.906967010922,0.247285260389146
03/31/2020,11:49 AM,161.73,161.74,161.3504,161.37,169686,162.958765990096,161.935611428572,163.399073291762,161.663586708238,0.311329407543294
03/31/2020,11:50 AM,161.3685,161.378,161.06,161.3,182919,162.893356729226,161.748802857144,163.445790992394,161.451869007606,0.303077547825944
03/31/2020,11:51 AM,161.31,161.69,161.2071,161.36,226830,162.804058124487,161.604708571429,163.430975654225,161.299684345775,0.23537204592577
03/31/2020,11:52 AM,161.36,161.76,161.314,161.415,145300,162.743204560997,161.458485714287,163.435024544034,161.170335455966,0.151986841545205
03/31/2020,11:53 AM,161.4181,161.44,161,161.105,155134,162.680987756226,161.274791428572,163.453863271801,160.992996728199,0.108857705277259
03/31/2020,11:54 AM,161.09,161.18,160.93,161.0008,180675,162.611312824461,161.112388571429,163.431653994039,160.828286005962,0.157475656525751
03/31/2020,11:55 AM,161.01,161.33,160.8112,160.84,128079,162.563016888573,160.930825714287,163.423888386907,160.649051613093,0.216582599484107
