Date,Time,Open,High,Low,Close,Volume,"Simple Moving Average - SMA - SMA(20)","Volume Adjusted Moving Average - VAMA - VAMA(15)","BOLLINGER BAND ® - BB - BBUpper(20,2)","BOLLINGER BAND ® - BB - BBLower(20,2)"
03/02/2020,12:01 PM,168.51,168.65,168.48,168.6,102574,167.74857,167.932485984717,168.736885816143,166.760254183857
03/02/2020,12:02 PM,168.5816,168.67,168.36,168.57,133076,167.82689,168.043002047311,168.814910977325,166.838869022675
03/02/2020,12:03 PM,168.595,168.64,168.22,168.3501,102275,167.896395,168.088235410258,168.824463832555,166.968326167445
03/02/2020,12:04 PM,168.37,168.53,168.28,168.345,93430,167.956645,168.129217930727,168.835629708582,167.077660291418
03/02/2020,12:05 PM,168.33,168.54,168.1,168.1258,111434,167.992435,168.156946011241,168.837094075095,167.147775924905
03/02/2020,12:06 PM,168.11,168.51,168.04,168.51,114157,168.058935,168.202824555983,168.844635027401,167.273234972599
03/02/2020,12:07 PM,168.5,168.53,168.32,168.36,125228,168.109685,168.249296030557,168.833017339297,167.386352660703
03/02/2020,12:08 PM,168.37,168.49,168.29,168.3151,75917,168.14594,168.29282875564,168.833236542679,167.458643457321
03/02/2020,12:09 PM,168.3,168.3299,167.94,168.0448,111610,168.1639,168.308562827632,168.820215143792,167.507584856208
03/02/2020,12:10 PM,168.03,168.19,168,168.06,97815,168.1844,168.341054421766,168.799549549283,167.569250450717
03/02/2020,12:11 PM,168.06,168.19,167.5,167.56,109219,168.1809,168.278644130778,168.809281387365,167.552518612635
03/02/2020,12:12 PM,167.59,167.71,167.47,167.47,120312,168.168025,168.214871660677,168.841940095159,167.494109904841
03/02/2020,12:13 PM,167.51,167.75,167.42,167.4588,82795,168.163465,168.186379487866,168.855048271284,167.471881728716
03/02/2020,12:14 PM,167.46,167.75,167.35,167.7,86112,168.157465,168.152498459542,168.862808704271,167.452121295729
03/02/2020,12:15 PM,167.71,167.73,167.47,167.6997,97697,168.14395,168.093208897829,168.873100364479,167.414799635521
03/02/2020,12:16 PM,167.705,167.7699,167.13,167.15,84473,168.07845,168.008022863253,168.910380919036,167.246519080964
03/02/2020,12:17 PM,167.14,167.22,166.84,166.94,159001,168.00795,167.852371406672,168.965391305776,167.050508694224
03/02/2020,12:18 PM,166.95,167.42,166.9289,167.08,121846,167.956965,167.761226613687,168.994669486419,166.919260513581
03/02/2020,12:19 PM,167.08,167.3,166.97,167.25,70900,167.904965,167.703345205787,168.974447136883,166.835482863117
03/02/2020,12:20 PM,167.24,167.31,167.09,167.2262,80279,167.840775,167.64780810844,168.911401700359,166.770148299641
03/02/2020,12:21 PM,167.23,167.3,167,167.08,111385,167.764775,167.542457069222,168.824779118647,166.704770881353
03/02/2020,12:22 PM,167.1,167.42,167.1,167.27,68793,167.699775,167.46051540056,168.712687499422,166.686862500577
03/02/2020,12:23 PM,167.2998,167.48,167.24,167.255,83140,167.64502,167.405334763296,168.629387680499,166.660652319501
03/02/2020,12:24 PM,167.25,167.265,166.93,167.0436,91787,167.57995,167.33398067891,168.542441617618,166.617458382382
03/02/2020,12:25 PM,167.05,167.19,166.97,167.105,77365,167.52891,167.272579790036,168.478380822923,166.579439177077
03/02/2020,12:26 PM,167.12,167.44,167.075,167.3867,84761,167.472745,167.257291812035,168.30965242253,166.63583757747
03/02/2020,12:27 PM,167.42,167.42,167.04,167.37,75970,167.423245,167.244918886816,168.15487335779,166.69161664221
03/02/2020,12:28 PM,167.3695,167.55,167.26,167.523,75784,167.38364,167.247376952632,167.993488320177,166.773791679823
03/02/2020,12:29 PM,167.5238,167.73,167.49,167.67,79331,167.3649,167.243377599317,167.912151426709,166.817648573291
03/02/2020,12:30 PM,167.65,167.9,167.625,167.7764,81619,167.35072,167.242578024842,167.836429257092,166.865010742908
03/02/2020,12:31 PM,167.75,168.02,167.67,167.92,78967,167.36872,167.288303317031,167.907861727561,166.829578272439
03/02/2020,12:32 PM,167.91,168.16,167.88,168.07,116185,167.39872,167.400929966213,168.01789768243,166.77954231757
03/02/2020,12:33 PM,168.06,168.15,167.88,168.145,60878,167.43303,167.469152847445,168.13255637148,166.73350362852
03/02/2020,12:34 PM,168.16,168.16,167.99,168.0775,53040,167.451905,167.508360013172,168.198045604629,166.705764395371
03/02/2020,12:35 PM,168.08,168.1,167.77,167.89,50257,167.46142,167.543534436062,168.224616327575,166.698223672424
03/02/2020,12:36 PM,167.91,168.29,167.902,168.16,72518,167.51192,167.627275788316,168.318439655302,166.705400344698
